CGPA,GPA,Attendance Percentage,Assignment Due Days,Project Due Days,Fees Due,Attendance Alert,GPA Alert,CGPA Alert,Assignment Alert,Project Alert,Fee Alert
5.91,8.06,89,0,5,0,0,0,1,1,1,0
6.89,8.9,90,6,7,1,0,0,0,0,0,1
6.9,8.69,97,9,6,1,0,0,0,0,1,1
6.28,9.41,84,0,11,0,0,0,0,1,0,0
6.77,6.97,95,5,14,0,0,0,0,0,0,0
5.11,6.19,92,4,17,0,0,0,1,0,0,0
8.19,6.41,55,5,7,0,1,0,0,0,0,0
7.13,5.67,67,1,8,0,1,1,0,1,0,0
6.9,7.18,80,1,8,0,0,0,0,1,0,0
5.41,9.61,76,0,4,1,0,0,1,1,1,1
7.44,9.03,80,6,13,0,0,0,0,0,0,0
9.17,6.91,97,3,9,1,0,0,0,0,0,1
7.55,5.92,61,8,0,0,1,1,0,0,1,0
7.19,5.73,50,6,12,0,1,1,0,0,0,0
5.4,6.44,93,5,13,1,0,0,1,0,0,1
8.08,9.25,70,0,5,1,0,0,0,1,1,1
9.17,7.74,85,5,9,1,0,0,0,0,0,1
7.63,9.25,72,2,16,1,0,0,0,0,0,1
8.85,9.67,83,0,4,1,0,0,0,1,1,1
6.62,7.6,51,9,2,0,1,0,0,0,1,0
7.21,5.89,72,2,5,0,0,1,0,0,1,0
9.35,7.52,68,9,13,1,1,0,0,0,0,1
7.88,9.1,61,3,5,0,1,0,0,0,1,0
9.27,6.36,82,9,4,1,0,0,0,0,1,1
7.4,8.18,66,5,6,0,1,0,0,0,1,0
5.02,5.85,72,5,18,0,0,1,1,0,0,0
6.22,5.86,83,0,9,0,0,1,0,1,0,0
9.1,7.23,50,2,7,0,1,0,0,0,0,0
7.92,5.43,83,0,16,1,0,1,0,1,0,1
6.21,6.74,96,8,8,1,0,0,0,0,0,1
6.38,8.73,51,10,15,0,1,0,0,0,0,0
5.08,7.32,80,7,12,1,0,0,1,0,0,1
7.14,5.23,58,7,16,1,1,1,0,0,0,1
5.6,7.69,75,2,2,1,0,0,1,0,1,1
8.99,6.32,87,5,19,0,0,0,0,0,0,0
7.47,7.38,56,1,15,0,1,0,0,1,0,0
7.28,7.55,56,5,5,0,1,0,0,0,1,0
8.05,5.97,69,3,12,1,1,1,0,0,0,1
8.12,8.12,72,7,5,0,0,0,0,0,1,0
5.57,6.45,92,10,18,0,0,0,1,0,0,0
7.13,7.16,68,6,19,1,1,0,0,0,0,1
7.6,7.36,71,8,7,1,0,0,0,0,0,1
6.92,5.86,98,5,2,0,0,1,0,0,1,0
9.08,8.02,91,10,6,0,0,0,0,0,1,0
5.36,6.75,92,0,11,1,0,0,1,1,0,1
5.17,9.29,72,3,14,1,0,0,1,0,0,1
5.84,8.26,71,3,13,0,0,0,1,0,0,0
9.37,5.65,96,5,19,0,0,1,0,0,0,0
6.72,9.24,72,0,12,0,0,0,0,1,0,0
9.04,7.47,71,6,5,0,0,0,0,0,1,0
6.84,5.64,79,3,19,0,0,1,0,0,0,0
7.51,6.94,86,3,12,0,0,0,0,0,0,0
7.89,8.17,58,10,20,1,1,0,0,0,0,1
6.38,7.17,71,7,14,0,0,0,0,0,0,0
8.07,5.94,60,5,13,0,1,1,0,0,0,0
6.27,7.66,95,4,6,0,0,0,0,0,1,0
7.23,7.94,78,7,13,1,0,0,0,0,0,1
6.56,9.22,79,10,17,1,0,0,0,0,0,1
7.33,6.24,74,1,11,1,0,0,0,1,0,1
8.2,7.47,56,8,12,0,1,0,0,0,0,0
5.03,6.11,84,9,0,1,0,0,1,0,1,1
7.72,6.59,89,6,5,0,0,0,0,0,1,0
8.36,6.33,80,9,16,1,0,0,0,0,0,1
5.97,6.26,99,2,8,0,0,0,1,0,0,0
7.01,6.0,91,8,15,0,0,0,0,0,0,0
9.12,7.72,54,10,12,1,1,0,0,0,0,1
5.68,6.24,72,1,5,1,0,0,1,1,1,1
7.99,6.31,58,9,12,0,1,0,0,0,0,0
5.95,5.35,65,7,3,0,1,1,1,0,1,0
8.6,7.83,87,7,10,1,0,0,0,0,0,1
7.15,5.28,77,5,6,1,0,1,0,0,1,1
5.89,5.03,81,9,15,0,0,1,1,0,0,0
8.84,9.63,86,3,4,0,0,0,0,0,1,0
6.54,9.37,56,1,19,1,1,0,0,1,0,1
5.39,8.79,52,8,15,1,1,0,1,0,0,1
8.6,8.26,60,3,11,1,1,0,0,0,0,1
9.14,5.52,94,2,3,1,0,1,0,0,1,1
6.17,5.55,87,4,13,0,0,1,0,0,0,0
9.07,8.16,82,10,9,0,0,0,0,0,0,0
5.37,9.0,93,7,5,1,0,0,1,0,1,1
5.99,9.29,83,0,5,0,0,0,1,1,1,0
5.58,9.3,53,7,14,0,1,0,1,0,0,0
6.94,6.75,75,0,20,1,0,0,0,1,0,1
6.08,7.05,70,1,20,0,0,0,0,1,0,0
8.27,6.53,73,0,7,1,0,0,0,1,0,1
5.44,9.64,50,1,13,1,1,0,1,1,0,1
6.41,7.86,88,10,15,1,0,0,0,0,0,1
9.15,7.99,51,7,4,0,1,0,0,0,1,0
5.9,7.49,94,7,10,1,0,0,1,0,0,1
5.65,6.77,71,8,12,0,0,0,1,0,0,0
8.74,7.23,73,5,10,0,0,0,0,0,0,0
8.24,9.6,70,6,11,1,0,0,0,0,0,1
6.01,5.6,89,3,6,1,0,1,0,0,1,1
8.13,9.45,65,7,18,1,1,0,0,0,0,1
8.67,6.16,91,7,7,0,0,0,0,0,0,0
7.6,8.44,79,4,7,0,0,0,0,0,0,0
5.11,8.62,95,6,2,1,0,0,1,0,1,1
5.11,6.12,95,0,18,1,0,0,1,1,0,1
8.5,9.74,77,5,9,0,0,0,0,0,0,0
5.9,5.78,57,0,20,1,1,1,1,1,0,1
7.7,7.59,66,5,7,0,1,0,0,0,0,0
8.73,8.01,80,4,13,1,0,0,0,0,0,1
6.12,7.17,50,2,16,0,1,0,0,0,0,0
5.61,5.33,66,3,13,0,1,1,1,0,0,0
5.56,9.75,99,9,2,1,0,0,1,0,1,1
6.01,5.88,92,5,3,0,0,1,0,0,1,0
5.36,5.65,92,5,14,0,0,1,1,0,0,0
7.12,6.1,58,6,9,0,1,0,0,0,0,0
9.06,8.62,96,6,3,0,0,0,0,0,1,0
6.58,9.2,95,9,17,0,0,0,0,0,0,0
6.17,5.73,97,8,0,1,0,1,0,0,1,1
8.83,7.14,64,3,7,1,1,0,0,0,0,1
5.86,5.3,83,9,1,0,0,1,1,0,1,0
7.86,6.17,51,3,14,1,1,0,0,0,0,1
6.48,7.3,86,10,19,0,0,0,0,0,0,0
8.08,5.89,74,8,13,0,0,1,0,0,0,0
5.27,9.46,87,1,10,1,0,0,1,1,0,1
8.16,9.66,81,4,8,0,0,0,0,0,0,0
9.39,8.4,62,5,0,0,1,0,0,0,1,0
7.04,7.52,95,10,8,0,0,0,0,0,0,0
6.22,7.2,54,9,16,0,1,0,0,0,0,0
6.43,7.34,65,8,5,0,1,0,0,0,1,0
6.4,7.6,78,10,9,1,0,0,0,0,0,1
7.15,5.28,76,6,8,1,0,1,0,0,0,1
5.89,7.66,59,0,13,0,1,0,1,1,0,0
8.83,6.02,97,0,3,1,0,0,0,1,1,1
8.58,7.83,96,1,4,0,0,0,0,1,1,0
6.7,5.55,85,2,17,1,0,1,0,0,0,1
6.73,8.44,54,9,13,1,1,0,0,0,0,1
8.03,6.73,55,3,18,0,1,0,0,0,0,0
8.05,9.79,89,2,7,1,0,0,0,0,0,1
6.91,8.0,74,1,5,1,0,0,0,1,1,1
8.77,8.49,54,7,0,0,1,0,0,0,1,0
8.77,8.6,93,0,20,1,0,0,0,1,0,1
9.25,7.23,99,8,3,1,0,0,0,0,1,1
6.91,9.46,71,1,2,0,0,0,0,1,1,0
7.33,6.76,91,8,17,1,0,0,0,0,0,1
5.95,7.21,91,7,20,1,0,0,1,0,0,1
6.4,6.09,56,2,15,0,1,0,0,0,0,0
5.96,5.18,92,4,20,1,0,1,1,0,0,1
5.94,7.44,73,5,3,1,0,0,1,0,1,1
8.59,5.84,95,6,10,0,0,1,0,0,0,0
6.8,8.82,65,3,14,0,1,0,0,0,0,0
7.91,5.41,92,8,15,0,0,1,0,0,0,0
8.71,6.11,88,1,18,0,0,0,0,1,0,0
6.7,8.88,58,0,7,1,1,0,0,1,0,1
9.2,8.89,73,1,13,1,0,0,0,1,0,1
5.82,9.13,81,5,20,0,0,0,1,0,0,0
8.27,6.97,87,2,17,0,0,0,0,0,0,0
7.6,5.99,54,0,16,1,1,1,0,1,0,1
8.04,9.21,55,7,15,1,1,0,0,0,0,1
5.25,7.41,64,0,20,0,1,0,1,1,0,0
5.32,7.67,71,4,10,0,0,0,1,0,0,0
6.34,7.29,75,1,3,0,0,0,0,1,1,0
7.33,5.81,72,7,16,1,0,1,0,0,0,1
7.37,6.06,93,2,0,1,0,0,0,0,1,1
8.71,7.15,73,3,17,0,0,0,0,0,0,0
7.32,5.76,69,1,4,1,1,1,0,1,1,1
6.61,8.66,53,8,13,0,1,0,0,0,0,0
9.49,7.89,59,3,5,0,1,0,0,0,1,0
7.3,8.81,60,4,18,0,1,0,0,0,0,0
6.54,6.92,95,0,4,0,0,0,0,1,1,0
5.18,8.79,76,0,20,0,0,0,1,1,0,0
6.93,8.98,76,9,18,1,0,0,0,0,0,1
5.73,6.17,53,2,2,1,1,0,1,0,1,1
6.26,6.47,60,5,20,1,1,0,0,0,0,1
7.78,5.0,74,5,4,0,0,1,0,0,1,0
8.11,9.64,59,10,12,0,1,0,0,0,0,0
8.81,9.01,62,4,7,1,1,0,0,0,0,1
6.29,7.72,59,10,19,0,1,0,0,0,0,0
7.42,9.27,88,5,17,1,0,0,0,0,0,1
5.12,9.12,89,2,5,0,0,0,1,0,1,0
6.85,8.04,68,9,16,0,1,0,0,0,0,0
7.88,6.13,76,1,5,0,0,0,0,1,1,0
9.07,5.04,86,7,11,1,0,1,0,0,0,1
5.91,9.59,84,3,10,0,0,0,1,0,0,0
7.06,6.53,56,9,20,1,1,0,0,0,0,1
9.12,6.75,84,6,20,0,0,0,0,0,0,0
8.87,7.66,70,4,1,1,0,0,0,0,1,1
6.08,5.97,80,8,8,1,0,1,0,0,0,1
7.0,9.19,97,10,4,1,0,0,0,0,1,1
5.03,6.94,84,0,3,1,0,0,1,1,1,1
5.01,5.66,55,6,0,1,1,1,1,0,1,1
6.6,8.58,81,2,19,0,0,0,0,0,0,0
6.88,8.6,73,6,20,1,0,0,0,0,0,1
5.26,9.69,58,3,6,1,1,0,1,0,1,1
8.0,7.38,73,3,3,1,0,0,0,0,1,1
5.4,5.42,70,9,1,1,0,1,1,0,1,1
8.36,8.21,68,1,1,0,1,0,0,1,1,0
5.49,8.77,53,7,16,1,1,0,1,0,0,1
8.15,9.34,86,6,20,0,0,0,0,0,0,0
6.5,9.02,56,9,19,1,1,0,0,0,0,1
8.4,7.77,82,3,9,0,0,0,0,0,0,0
6.06,7.25,80,7,16,1,0,0,0,0,0,1
5.45,8.44,97,2,15,1,0,0,1,0,0,1
8.81,5.0,73,4,6,0,0,1,0,0,1,0
5.06,9.07,56,3,18,1,1,0,1,0,0,1
6.79,8.6,97,4,17,0,0,0,0,0,0,0
5.6,8.84,60,9,1,1,1,0,1,0,1,1
8.57,8.41,64,5,17,0,1,0,0,0,0,0
7.95,6.93,73,7,12,1,0,0,0,0,0,1
9.11,9.59,72,7,15,0,0,0,0,0,0,0
5.08,5.83,88,4,17,1,0,1,1,0,0,1
5.76,6.62,61,1,11,0,1,0,1,1,0,0
7.4,9.09,88,2,0,0,0,0,0,0,1,0
5.99,5.24,85,10,16,0,0,1,1,0,0,0
6.3,6.95,89,5,3,0,0,0,0,0,1,0
6.18,5.28,87,9,1,1,0,1,0,0,1,1
7.79,5.61,68,6,5,1,1,1,0,0,1,1
7.19,8.43,77,0,0,1,0,0,0,1,1,1
8.72,8.75,84,2,12,1,0,0,0,0,0,1
6.29,9.08,83,6,10,0,0,0,0,0,0,0
5.07,6.09,100,7,12,0,0,0,1,0,0,0
5.62,7.94,90,8,1,1,0,0,1,0,1,1
5.18,6.68,57,4,3,0,1,0,1,0,1,0
9.41,7.26,83,7,17,0,0,0,0,0,0,0
7.4,8.22,93,7,2,1,0,0,0,0,1,1
7.72,9.64,64,7,3,0,1,0,0,0,1,0
5.13,5.27,95,4,7,0,0,1,1,0,0,0
6.02,8.25,73,3,16,1,0,0,0,0,0,1
7.49,9.46,52,7,1,1,1,0,0,0,1,1
5.34,8.82,97,10,14,1,0,0,1,0,0,1
5.46,7.31,60,5,3,0,1,0,1,0,1,0
6.14,7.8,93,0,9,0,0,0,0,1,0,0
5.07,7.43,92,2,13,0,0,0,1,0,0,0
8.91,7.88,52,3,3,1,1,0,0,0,1,1
6.91,9.66,55,9,6,1,1,0,0,0,1,1
5.69,9.68,93,9,4,1,0,0,1,0,1,1
5.64,6.66,79,8,4,1,0,0,1,0,1,1
6.51,5.06,51,0,14,1,1,1,0,1,0,1
9.22,5.79,85,7,2,1,0,1,0,0,1,1
6.75,8.38,68,0,1,0,1,0,0,1,1,0
9.06,9.13,77,1,15,1,0,0,0,1,0,1
6.87,7.28,62,4,11,1,1,0,0,0,0,1
5.4,5.4,74,7,0,1,0,1,1,0,1,1
5.12,9.25,56,1,12,0,1,0,1,1,0,0
8.02,5.9,57,1,15,1,1,1,0,1,0,1
6.5,6.04,53,2,10,0,1,0,0,0,0,0
7.61,9.6,57,9,20,0,1,0,0,0,0,0
6.06,5.79,91,5,16,0,0,1,0,0,0,0
8.67,6.47,97,2,0,1,0,0,0,0,1,1
7.04,7.08,50,2,17,0,1,0,0,0,0,0
8.61,7.71,57,8,0,0,1,0,0,0,1,0
8.18,8.86,88,5,8,1,0,0,0,0,0,1
5.03,8.81,78,3,17,0,0,0,1,0,0,0
8.32,9.5,84,2,13,0,0,0,0,0,0,0
6.85,9.11,92,7,16,0,0,0,0,0,0,0
6.68,7.36,83,10,1,0,0,0,0,0,1,0
9.16,5.49,67,1,10,1,1,1,0,1,0,1
7.04,9.14,50,2,19,0,1,0,0,0,0,0
7.6,7.12,55,4,2,0,1,0,0,0,1,0
6.98,8.89,71,10,4,0,0,0,0,0,1,0
7.27,8.59,57,3,18,1,1,0,0,0,0,1
7.53,9.57,51,8,18,0,1,0,0,0,0,0
6.75,8.9,66,2,10,1,1,0,0,0,0,1
8.85,6.93,88,4,7,1,0,0,0,0,0,1
9.11,5.31,67,3,2,1,1,1,0,0,1,1
7.28,9.24,84,5,0,1,0,0,0,0,1,1
6.61,9.76,89,1,8,1,0,0,0,1,0,1
5.74,9.17,77,7,4,1,0,0,1,0,1,1
6.1,9.61,53,1,12,0,1,0,0,1,0,0
7.09,9.39,87,9,7,1,0,0,0,0,0,1
8.31,7.1,91,0,6,0,0,0,0,1,1,0
8.03,8.77,100,10,3,1,0,0,0,0,1,1
7.16,9.65,94,5,0,0,0,0,0,0,1,0
5.4,5.83,71,9,18,0,0,1,1,0,0,0
7.91,8.09,66,3,20,1,1,0,0,0,0,1
7.84,8.3,80,8,19,0,0,0,0,0,0,0
5.84,8.7,55,4,18,1,1,0,1,0,0,1
5.21,6.62,61,10,18,0,1,0,1,0,0,0
7.93,5.25,67,1,14,0,1,1,0,1,0,0
5.72,7.46,97,5,16,1,0,0,1,0,0,1
7.39,5.96,84,10,0,1,0,1,0,0,1,1
8.44,5.02,51,10,7,1,1,1,0,0,0,1
9.35,6.26,61,3,14,0,1,0,0,0,0,0
7.72,5.75,74,5,5,1,0,1,0,0,1,1
9.31,8.47,100,3,14,1,0,0,0,0,0,1
5.94,5.54,89,3,12,0,0,1,1,0,0,0
8.32,6.48,87,0,18,1,0,0,0,1,0,1
7.88,6.12,100,1,2,0,0,0,0,1,1,0
7.76,7.54,86,5,14,0,0,0,0,0,0,0
6.59,7.87,62,9,11,1,1,0,0,0,0,1
6.94,8.62,66,3,7,0,1,0,0,0,0,0
7.28,6.73,91,5,15,0,0,0,0,0,0,0
7.19,8.97,80,4,6,0,0,0,0,0,1,0
9.42,9.02,50,0,3,1,1,0,0,1,1,1
7.06,7.86,99,1,6,1,0,0,0,1,1,1
8.82,9.78,77,4,18,0,0,0,0,0,0,0
5.02,9.2,62,0,8,0,1,0,1,1,0,0
5.63,8.95,69,10,11,0,1,0,1,0,0,0
9.47,8.97,97,5,4,0,0,0,0,0,1,0
7.6,7.4,67,8,18,1,1,0,0,0,0,1
8.9,8.34,55,9,4,1,1,0,0,0,1,1
5.31,8.67,61,3,13,1,1,0,1,0,0,1
6.93,8.23,57,9,6,1,1,0,0,0,1,1
7.6,8.12,84,6,14,1,0,0,0,0,0,1
5.25,7.39,89,0,0,1,0,0,1,1,1,1
6.64,7.81,68,3,12,1,1,0,0,0,0,1
8.44,9.24,72,4,20,1,0,0,0,0,0,1
7.06,9.44,54,4,0,1,1,0,0,0,1,1
5.51,9.64,85,3,5,1,0,0,1,0,1,1
7.91,9.0,74,8,18,0,0,0,0,0,0,0
9.13,6.34,93,8,11,0,0,0,0,0,0,0
9.17,9.65,98,7,20,0,0,0,0,0,0,0
8.54,8.78,63,10,10,0,1,0,0,0,0,0
6.59,7.57,70,2,7,1,0,0,0,0,0,1
9.05,9.19,63,9,20,0,1,0,0,0,0,0
8.65,6.17,53,1,17,1,1,0,0,1,0,1
5.19,9.15,86,1,3,0,0,0,1,1,1,0
9.4,6.37,70,7,15,1,0,0,0,0,0,1
9.04,7.81,71,2,11,1,0,0,0,0,0,1
6.53,8.51,76,3,10,0,0,0,0,0,0,0
5.25,8.27,62,1,14,0,1,0,1,1,0,0
6.44,7.51,74,7,11,0,0,0,0,0,0,0
7.64,7.91,64,3,12,1,1,0,0,0,0,1
7.97,7.13,85,0,9,1,0,0,0,1,0,1
8.89,7.64,50,2,4,1,1,0,0,0,1,1
7.83,7.16,66,9,3,0,1,0,0,0,1,0
6.44,5.61,69,4,13,1,1,1,0,0,0,1
8.05,5.06,51,6,10,0,1,1,0,0,0,0
8.37,6.49,55,1,0,0,1,0,0,1,1,0
8.8,5.16,70,6,4,1,0,1,0,0,1,1
5.97,9.43,70,5,5,1,0,0,1,0,1,1
7.09,7.4,81,2,11,0,0,0,0,0,0,0
6.38,6.41,51,0,17,0,1,0,0,1,0,0
7.01,5.75,82,10,19,0,0,1,0,0,0,0
7.39,7.38,100,7,6,1,0,0,0,0,1,1
8.78,8.19,61,1,6,0,1,0,0,1,1,0
6.66,6.74,96,2,16,0,0,0,0,0,0,0
9.45,5.97,61,9,13,1,1,1,0,0,0,1
6.24,7.7,56,3,12,0,1,0,0,0,0,0
7.32,5.3,69,7,5,1,1,1,0,0,1,1
9.46,5.49,62,3,18,0,1,1,0,0,0,0
9.45,5.92,81,4,5,1,0,1,0,0,1,1
8.63,5.51,98,8,17,1,0,1,0,0,0,1
8.3,9.18,97,0,16,1,0,0,0,1,0,1
5.44,9.56,52,5,10,1,1,0,1,0,0,1
8.06,7.12,60,2,8,1,1,0,0,0,0,1
7.72,5.28,92,1,4,0,0,1,0,1,1,0
9.41,5.73,94,10,2,0,0,1,0,0,1,0
6.91,7.78,85,6,5,1,0,0,0,0,1,1
7.91,5.87,50,5,3,1,1,1,0,0,1,1
6.22,9.28,64,2,20,1,1,0,0,0,0,1
7.62,7.43,78,4,19,1,0,0,0,0,0,1
9.27,5.52,56,10,17,0,1,1,0,0,0,0
6.15,5.58,61,9,3,1,1,1,0,0,1,1
8.22,6.38,80,0,1,1,0,0,0,1,1,1
6.27,5.84,65,8,2,1,1,1,0,0,1,1
6.32,5.7,93,7,10,0,0,1,0,0,0,0
7.52,6.62,58,9,17,0,1,0,0,0,0,0
9.27,6.21,68,0,0,0,1,0,0,1,1,0
6.33,8.57,53,5,18,0,1,0,0,0,0,0
7.51,8.46,61,0,3,0,1,0,0,1,1,0
8.7,5.26,53,0,11,0,1,1,0,1,0,0
6.09,9.24,84,5,8,0,0,0,0,0,0,0
8.79,9.37,80,4,10,1,0,0,0,0,0,1
7.81,6.37,84,9,5,1,0,0,0,0,1,1
5.91,8.63,70,5,12,1,0,0,1,0,0,1
9.46,6.58,98,0,0,1,0,0,0,1,1,1
8.32,6.38,64,8,11,0,1,0,0,0,0,0
9.17,5.99,90,0,11,0,0,1,0,1,0,0
9.0,7.39,77,9,14,0,0,0,0,0,0,0
6.76,5.7,91,3,7,0,0,1,0,0,0,0
8.78,5.49,70,4,16,0,0,1,0,0,0,0
9.13,8.59,51,7,10,1,1,0,0,0,0,1
5.32,9.45,95,1,0,0,0,0,1,1,1,0
5.71,8.38,80,5,19,0,0,0,1,0,0,0
5.54,9.12,87,1,7,1,0,0,1,1,0,1
9.33,9.18,66,9,17,1,1,0,0,0,0,1
8.03,5.34,63,9,17,1,1,1,0,0,0,1
5.41,6.01,86,10,20,1,0,0,1,0,0,1
9.47,5.39,98,7,5,1,0,1,0,0,1,1
6.98,7.38,55,3,12,0,1,0,0,0,0,0
9.19,5.12,59,5,14,0,1,1,0,0,0,0
6.13,9.42,89,1,18,1,0,0,0,1,0,1
9.29,5.47,84,10,10,0,0,1,0,0,0,0
6.83,7.64,63,2,14,1,1,0,0,0,0,1
7.28,8.22,66,0,19,0,1,0,0,1,0,0
7.48,8.15,86,7,1,1,0,0,0,0,1,1
8.9,7.88,98,2,7,1,0,0,0,0,0,1
9.08,6.42,70,0,3,1,0,0,0,1,1,1
7.73,5.57,92,6,15,0,0,1,0,0,0,0
5.67,8.31,91,0,4,1,0,0,1,1,1,1
7.62,5.58,100,9,20,0,0,1,0,0,0,0
6.43,8.12,64,9,20,0,1,0,0,0,0,0
8.99,6.38,81,1,1,1,0,0,0,1,1,1
7.42,7.95,87,4,2,1,0,0,0,0,1,1
8.72,9.73,77,2,9,1,0,0,0,0,0,1
5.46,7.7,54,2,7,1,1,0,1,0,0,1
5.13,5.93,98,4,5,1,0,1,1,0,1,1
7.1,9.26,71,2,1,0,0,0,0,0,1,0
7.63,6.88,51,8,0,0,1,0,0,0,1,0
8.0,8.9,81,10,1,0,0,0,0,0,1,0
8.82,9.5,87,2,18,1,0,0,0,0,0,1
7.18,9.45,93,2,8,1,0,0,0,0,0,1
6.1,7.87,79,1,19,1,0,0,0,1,0,1
9.21,7.11,73,8,13,0,0,0,0,0,0,0
5.4,8.88,61,8,20,0,1,0,1,0,0,0
6.06,8.19,91,10,18,1,0,0,0,0,0,1
8.07,5.21,89,5,18,0,0,1,0,0,0,0
6.61,7.22,74,10,13,1,0,0,0,0,0,1
6.24,5.16,100,6,9,1,0,1,0,0,0,1
6.32,5.66,53,4,20,1,1,1,0,0,0,1
8.88,7.31,57,4,1,0,1,0,0,0,1,0
6.28,8.85,60,1,5,1,1,0,0,1,1,1
5.5,6.03,73,9,12,0,0,0,1,0,0,0
8.56,6.24,73,4,8,1,0,0,0,0,0,1
8.51,9.73,77,0,19,1,0,0,0,1,0,1
7.62,8.46,50,3,13,1,1,0,0,0,0,1
6.1,9.5,50,4,1,1,1,0,0,0,1,1
6.59,6.04,96,2,20,0,0,0,0,0,0,0
6.66,6.29,52,0,20,0,1,0,0,1,0,0
6.71,9.77,73,0,16,0,0,0,0,1,0,0
5.74,7.38,95,1,7,0,0,0,1,1,0,0
9.45,9.54,69,6,8,0,1,0,0,0,0,0
5.73,8.58,63,8,19,1,1,0,1,0,0,1
8.05,9.45,73,2,11,1,0,0,0,0,0,1
9.26,9.24,99,7,8,0,0,0,0,0,0,0
5.69,5.29,75,3,13,0,0,1,1,0,0,0
5.43,7.74,92,2,5,1,0,0,1,0,1,1
8.71,6.81,77,4,5,0,0,0,0,0,1,0
7.41,6.12,67,7,7,0,1,0,0,0,0,0
8.77,7.62,71,9,18,0,0,0,0,0,0,0
9.25,9.58,61,10,13,0,1,0,0,0,0,0
5.09,9.1,75,10,10,1,0,0,1,0,0,1
