CGPA,GPA,Average Assignment Marks,Average Project Marks,Attendance Percentage,Class Participation Credits,Extracurricular Activities,Achievements Credits,No. of Students in Class,Rank in Class,Certifications Count,Performance
7.26,6.51,65,94,85,45,1,99,77,2,9,84.97
5.82,8.05,50,76,84,16,1,3,80,42,15,49.01
5.43,9.23,94,23,57,5,1,32,50,39,8,51.4
7.24,8.1,70,56,96,19,1,93,85,76,14,79.17
9.1,5.09,39,60,90,95,0,93,54,24,15,93.16
6.78,8.74,72,50,52,90,0,88,89,18,18,94.04
6.94,6.19,32,44,93,42,1,96,40,20,6,75.18
9.18,5.27,90,94,54,21,0,82,39,26,16,78.39
5.91,9.27,80,71,80,63,0,7,94,25,6,59.51
6.79,6.78,17,96,51,22,1,43,76,59,15,59.87
6.13,8.53,40,80,63,54,0,63,65,13,11,74.08
8.05,6.41,87,63,56,79,0,9,36,19,14,65.38
7.73,6.33,90,42,98,70,1,55,52,48,8,73.75
9.23,5.79,30,43,71,52,1,18,42,6,11,59.94
7.99,6.61,40,10,76,65,0,100,99,66,12,84.07
9.27,5.38,83,29,90,54,0,84,73,53,11,80.85
6.36,8.51,93,22,57,94,1,27,64,57,4,66.95
8.72,5.98,29,20,94,76,1,43,63,22,14,72.18
5.47,9.18,90,53,52,37,1,33,81,14,9,61.64
7.25,7.69,99,70,84,53,1,20,99,19,0,60.43
6.69,6.42,92,18,51,48,0,17,31,8,9,54.3
8.69,8.71,45,67,75,65,1,91,47,2,17,94.24
5.78,8.78,95,19,67,84,1,80,33,2,12,86.32
5.91,9.1,38,82,98,96,0,60,90,41,14,84.47
6.43,8.18,16,54,75,95,0,93,92,12,1,84.79
9.24,5.05,80,90,71,32,0,8,100,28,9,55.24
9.33,7.45,59,77,92,44,0,52,36,9,0,70.01
5.72,8.25,81,100,61,98,0,95,82,47,14,95.67
7.96,6.52,66,94,95,31,1,9,70,70,9,54.16
7.49,6.89,20,22,53,11,0,75,76,18,18,67.22
7.04,9.44,25,11,90,95,0,54,74,2,20,84.19
6.3,7.17,33,19,64,16,0,26,92,84,14,48.75
7.2,6.05,46,46,89,95,0,9,82,62,13,63.1
7.64,7.14,61,30,93,97,1,23,85,41,18,74.16
9.04,5.87,87,45,90,11,0,26,31,21,10,55.31
5.14,9.43,25,77,78,25,1,83,43,39,18,75.17
8.9,9.27,69,91,80,86,1,74,54,29,10,93.26
6.01,8.42,73,47,96,68,0,27,42,7,8,65.35
9.05,7.1,73,82,73,7,1,40,47,9,20,68.01
5.39,6.63,52,80,59,4,0,44,94,31,15,55.15
6.8,6.6,34,64,94,94,1,4,36,34,5,58.2
9.41,6.8,73,34,75,59,0,38,93,69,4,66.45
5.65,8.67,71,15,84,90,0,62,51,11,20,83.56
5.45,9.6,49,67,55,21,0,82,63,35,9,71.07
8.01,8.73,94,96,90,39,1,95,56,32,3,85.65
8.63,6.59,50,48,89,53,0,69,73,33,4,73.29
6.12,7.68,36,82,77,41,0,69,38,29,18,74.05
5.78,9.26,56,88,73,30,0,27,67,25,19,63.7
8.64,9.13,55,57,95,0,0,8,96,77,12,51.94
5.57,7.33,77,50,100,72,0,85,35,3,17,86.09
7.37,6.51,48,86,72,39,0,12,94,80,2,49.79
5.52,7.94,51,36,82,1,1,6,96,55,3,37.84
6.1,9.3,37,93,65,21,0,49,37,37,12,63.37
8.06,8.34,51,67,95,55,0,11,78,27,2,58.48
6.63,5.18,17,74,87,94,1,27,95,91,13,65.56
6.94,9.11,50,12,50,66,0,77,69,43,14,80.23
5.92,7.94,62,69,95,88,1,54,43,1,9,78.65
8.85,6.2,39,90,61,15,1,12,99,68,19,55.65
8.71,8.8,29,94,81,8,1,38,40,4,8,62.75
6.7,9.51,82,22,86,81,1,4,87,33,18,67.87
5.75,5.43,44,45,70,85,1,65,35,19,8,71.77
5.97,9.1,52,68,90,50,1,49,59,33,16,72.52
5.64,8.0,78,31,61,99,0,27,33,4,8,68.67
8.22,8.3,70,18,61,75,0,61,68,5,17,83.12
5.08,9.02,68,80,79,81,0,32,88,53,12,70.58
7.49,9.12,59,14,62,45,1,22,44,23,20,64.84
6.99,8.57,68,76,59,51,1,32,65,14,19,71.36
5.33,9.72,28,85,70,45,1,7,78,32,2,51.02
8.81,9.15,70,85,89,6,1,89,85,17,13,82.92
5.69,7.07,70,36,98,73,0,13,30,30,0,52.62
8.48,9.13,66,32,79,2,1,42,37,36,15,62.55
8.82,9.28,46,60,57,9,1,26,84,68,1,53.56
8.89,5.64,42,93,85,40,0,32,30,5,6,61.82
6.44,6.55,52,44,71,27,0,86,40,29,10,69.86
6.57,5.25,72,38,89,45,0,97,99,6,20,82.77
7.05,6.56,20,89,54,50,0,75,69,47,8,71.95
6.11,8.54,93,88,94,97,1,80,57,5,9,92.56
6.5,8.63,63,41,84,16,0,58,30,10,9,64.06
9.29,6.75,28,16,70,21,0,86,68,41,1,67.91
5.65,5.14,43,49,61,85,1,47,43,34,5,63.43
8.14,6.15,28,71,55,46,1,4,89,64,8,50.9
7.73,8.58,62,77,74,65,1,70,86,66,10,82.06
5.26,9.25,27,43,77,56,1,77,95,81,15,76.61
8.67,6.83,99,74,69,76,0,0,70,57,1,58.9
5.11,8.85,66,16,74,72,1,2,65,1,16,59.17
5.55,7.22,69,13,63,99,1,65,67,23,2,74.34
5.56,9.22,29,13,100,71,1,77,100,31,20,83.17
5.91,6.23,85,85,69,55,1,88,32,12,8,79.19
6.27,8.64,33,18,80,57,0,92,74,37,18,83.27
8.49,7.8,36,81,74,10,0,65,98,52,17,71.43
6.83,8.62,70,84,84,8,1,97,53,47,11,77.91
5.94,9.24,13,71,81,33,1,28,70,46,11,57.76
8.87,8.78,79,18,97,59,1,86,90,41,13,88.95
8.0,6.08,18,90,69,55,0,32,100,73,17,65.67
8.55,9.0,93,79,73,7,1,96,64,33,19,87.01
6.29,8.78,82,27,100,45,0,0,90,65,1,48.36
8.22,7.29,40,64,95,94,0,84,40,30,18,93.29
9.2,9.7,91,70,67,85,1,82,61,61,7,93.95
6.05,7.36,99,76,69,61,0,56,48,27,9,72.77
7.95,9.69,23,91,70,10,0,47,93,61,3,60.78
6.48,9.25,32,61,72,34,1,55,93,53,15,69.68
9.24,8.2,58,40,54,53,0,34,63,31,6,66.35
5.1,6.3,54,17,55,59,1,31,74,11,3,53.12
5.4,7.86,97,25,99,64,1,21,76,52,20,65.62
5.8,6.27,69,36,62,100,0,17,35,33,12,62.95
6.36,6.36,22,15,96,51,1,65,38,14,10,66.78
7.72,8.75,81,49,94,12,0,64,56,23,19,74.21
6.98,7.34,87,18,75,60,0,57,95,37,18,75.68
6.63,6.15,93,53,65,31,0,62,86,58,12,66.82
5.37,6.1,40,93,61,67,0,45,43,38,5,61.75
6.53,7.47,11,26,65,31,1,66,39,10,19,68.67
6.23,8.67,96,77,55,70,0,43,81,68,18,76.36
8.82,6.6,84,25,61,88,0,89,46,1,17,94.04
7.57,7.87,65,99,78,67,0,11,84,49,1,60.18
6.08,9.05,63,42,52,55,1,77,67,1,19,82.85
7.76,6.0,25,93,66,86,0,13,59,29,6,61.54
5.08,8.47,80,18,95,99,0,30,34,5,19,74.89
7.36,8.44,38,83,85,17,1,27,66,55,17,60.4
8.01,7.0,81,64,53,70,1,100,59,31,4,87.49
8.66,7.1,65,27,70,83,0,78,63,14,19,89.97
7.34,5.77,58,87,95,85,1,44,52,44,18,77.36
9.11,5.03,40,55,54,55,0,66,65,14,12,74.16
7.25,8.83,75,31,50,83,0,2,77,50,17,64.98
6.53,6.91,99,24,72,1,1,17,72,50,5,43.93
5.2,7.21,48,40,73,22,1,87,55,22,14,70.41
6.48,5.58,37,84,87,15,1,78,87,86,14,67.04
9.11,6.77,28,10,95,25,0,95,78,10,8,76.11
7.41,9.15,62,86,62,33,0,10,58,9,5,56.09
7.7,9.76,20,18,97,74,0,26,30,18,19,71.7
6.46,6.58,53,97,87,2,1,5,61,41,5,41.87
8.41,8.92,59,66,64,85,0,24,70,52,11,73.16
6.12,9.3,39,73,96,32,0,6,99,96,1,47.45
6.7,5.36,79,79,92,87,1,84,90,43,5,83.25
9.13,5.31,65,87,59,82,0,55,77,75,0,72.89
6.86,8.3,58,52,63,60,0,54,42,34,13,72.66
6.63,9.02,66,74,73,63,1,28,66,5,10,68.96
9.47,5.42,69,83,54,14,1,49,93,31,0,59.55
5.68,9.34,75,96,53,92,0,15,80,78,13,69.55
5.92,5.98,52,66,72,68,0,41,48,13,0,60.28
9.44,8.73,26,97,86,25,0,10,70,7,5,57.45
7.66,5.67,10,67,95,42,0,7,80,38,3,46.95
6.66,8.19,72,18,87,21,1,86,82,67,1,68.03
6.26,6.42,51,38,90,28,1,88,33,19,16,74.0
5.43,9.33,73,12,99,3,0,34,84,45,19,56.67
8.18,5.57,98,37,79,90,0,96,43,16,1,87.12
8.57,6.48,60,70,79,71,1,98,56,39,15,92.21
7.22,5.02,80,37,97,35,1,90,37,7,11,76.06
7.88,7.57,43,99,89,98,1,8,32,2,8,70.06
7.79,5.25,54,84,56,33,1,36,46,21,5,57.11
6.75,6.28,10,21,69,44,1,85,63,15,10,71.16
6.21,5.52,29,13,88,9,1,7,92,78,2,33.62
5.9,9.34,72,52,81,61,1,5,51,12,8,58.57
7.42,8.61,35,16,85,65,0,78,56,20,0,74.98
6.4,7.01,36,54,53,93,0,1,47,25,0,53.24
7.46,8.48,22,12,55,71,0,58,93,77,9,71.19
6.63,8.42,15,31,72,62,0,2,81,38,5,50.6
8.4,5.27,16,95,61,75,0,39,48,21,10,68.71
6.25,9.13,10,83,51,59,0,42,54,54,9,65.21
7.1,7.37,97,67,66,13,0,23,30,30,7,52.15
8.38,5.99,67,96,69,2,1,76,35,32,8,67.51
6.88,6.56,42,61,86,57,1,20,33,12,14,61.11
6.2,8.97,89,41,79,78,0,85,91,41,3,83.41
7.29,5.54,44,58,79,56,1,76,71,71,16,76.22
6.05,6.36,48,38,78,98,0,62,49,28,8,75.35
6.83,5.27,66,18,86,5,1,64,72,48,17,60.93
5.2,5.32,78,84,90,67,1,37,79,72,11,63.51
8.59,6.72,79,77,72,47,0,56,41,39,8,71.67
5.26,9.67,38,32,65,96,1,24,95,1,7,67.36
6.16,8.19,23,59,64,82,0,61,42,7,16,79.14
8.17,8.35,63,30,54,93,0,23,97,8,19,76.27
6.86,8.12,50,47,51,65,0,14,81,46,20,63.97
5.09,6.09,44,13,59,81,0,37,52,45,3,56.33
5.68,5.33,73,59,83,93,0,92,86,22,20,90.17
7.85,8.83,90,51,76,30,1,63,63,30,11,74.62
8.01,9.11,25,21,67,76,0,85,55,53,3,80.61
7.87,7.21,42,77,63,49,0,89,53,5,14,83.96
5.56,8.25,40,18,77,25,0,14,31,9,17,50.96
6.52,5.8,79,74,100,34,1,21,31,26,5,52.44
6.29,6.63,66,45,69,16,1,14,98,54,12,48.07
7.36,7.39,12,75,65,85,1,5,73,41,0,56.08
7.0,6.54,97,28,59,63,0,37,40,2,6,64.58
7.65,6.53,84,98,60,8,1,12,43,29,3,47.64
5.41,8.16,51,30,97,70,0,22,48,30,20,64.97
6.32,8.68,64,39,59,81,0,8,32,18,16,64.04
5.24,6.31,52,69,76,41,1,18,38,3,8,51.8
8.08,7.07,52,38,55,7,1,44,97,53,14,59.12
7.07,5.99,77,87,97,82,1,37,49,35,8,71.11
9.13,8.58,77,15,84,76,1,63,47,27,11,83.75
8.62,5.05,83,27,71,41,1,38,37,25,4,58.7
9.14,7.57,10,17,65,29,0,52,97,36,4,61.16
5.72,9.27,51,95,92,51,1,57,76,12,19,78.87
9.26,5.81,48,61,100,28,0,66,43,40,20,74.59
5.18,6.85,44,52,74,57,0,80,45,25,0,67.93
9.07,7.84,76,24,98,70,0,57,88,10,17,83.67
5.22,6.32,83,69,73,86,1,91,43,39,3,80.77
6.63,5.78,17,37,86,42,1,57,44,18,7,61.14
8.54,6.99,16,92,80,20,1,87,33,27,19,79.38
5.46,5.24,25,59,56,7,0,27,44,5,2,39.85
5.54,6.98,62,96,76,97,0,71,58,13,7,82.28
8.35,8.42,11,49,59,69,1,72,71,1,10,81.31
9.29,6.38,78,43,70,47,0,42,76,36,5,65.93
9.29,5.17,27,69,74,38,0,51,42,17,19,70.25
8.89,8.96,60,49,95,35,1,2,73,18,20,63.12
7.39,8.67,63,50,87,92,0,89,47,17,14,94.29
7.89,9.03,50,37,84,60,1,40,90,61,6,68.65
7.77,6.75,81,89,88,31,0,89,42,2,16,84.0
7.61,8.38,73,73,73,91,0,71,66,6,9,88.24
6.3,9.65,99,79,100,90,1,54,81,28,15,87.74
5.46,8.06,92,87,52,4,0,40,40,3,8,56.26
5.11,5.83,99,28,91,67,1,84,83,35,4,74.39
6.41,9.62,12,65,69,2,1,54,81,1,6,59.18
9.45,6.47,58,90,76,15,1,36,48,1,15,65.95
7.7,9.48,21,38,50,94,1,71,94,73,15,86.91
5.94,7.35,63,17,59,8,1,33,61,13,3,47.1
8.13,9.55,99,45,69,53,1,5,61,48,13,63.74
8.03,5.71,44,95,90,36,0,70,55,49,7,70.03
5.06,8.77,13,41,68,6,0,17,63,54,0,37.77
9.09,8.35,41,86,96,91,1,70,52,7,15,93.9
8.72,7.19,76,77,96,89,1,92,68,56,11,95.36
5.41,5.39,56,44,100,46,1,33,84,77,1,50.47
8.73,6.89,44,38,67,83,1,64,48,25,6,78.39
6.34,9.28,81,37,83,76,1,95,92,7,13,92.44
7.46,6.87,99,29,51,37,1,53,66,47,18,70.06
7.17,8.4,57,17,86,98,0,55,61,37,17,82.85
9.48,9.51,16,14,89,47,0,61,83,32,16,78.37
7.99,7.09,36,72,75,47,0,58,70,31,11,71.66
8.0,7.62,98,45,70,48,1,28,30,12,7,64.16
8.15,7.68,34,25,59,94,1,64,55,5,16,85.04
6.05,6.81,40,31,66,43,1,7,39,22,7,46.6
9.4,5.07,63,77,62,49,1,28,73,1,16,67.7
5.21,7.24,29,41,91,50,1,70,32,22,9,67.68
7.12,7.2,49,31,81,80,1,57,92,53,15,77.29
5.78,5.42,32,88,99,41,0,95,94,44,16,77.99
6.96,9.66,78,36,69,10,0,32,96,90,13,58.14
9.21,6.7,56,56,62,15,1,6,54,1,20,56.56
6.07,5.0,84,55,76,100,0,60,83,63,6,74.43
9.12,7.65,85,21,87,0,1,61,50,40,4,62.63
9.18,6.87,13,25,55,65,1,30,32,13,7,63.0
9.39,6.1,65,64,81,63,1,18,30,30,11,64.6
5.17,6.65,80,30,80,42,1,34,34,24,12,57.24
6.11,7.62,82,99,88,51,1,20,34,6,3,59.79
7.84,8.55,95,21,97,92,0,82,56,16,19,95.96
5.07,6.53,84,98,94,33,1,58,30,26,20,70.26
5.56,5.04,54,53,71,13,0,26,49,40,18,48.43
7.14,5.24,66,29,58,41,0,0,31,15,14,47.79
8.78,5.98,59,53,75,48,0,100,88,33,16,87.19
5.16,5.91,87,71,76,1,1,10,54,50,6,39.27
6.88,6.88,88,19,77,15,0,58,92,53,15,63.86
6.2,5.62,83,11,81,12,0,8,93,3,18,46.52
5.2,5.69,68,39,62,69,0,30,61,42,9,57.46
5.92,7.98,88,96,93,75,0,82,68,3,17,90.77
7.01,8.84,58,92,89,98,0,77,70,5,9,91.88
5.71,6.26,82,97,80,79,0,1,89,46,12,59.31
6.5,7.18,69,53,93,32,1,35,33,15,7,58.48
7.66,8.5,31,98,71,21,0,55,34,11,15,70.27
7.42,9.38,97,97,69,10,1,66,64,25,6,72.01
7.79,9.09,62,57,56,79,0,59,89,69,10,80.4
9.29,8.35,82,96,88,96,0,62,52,27,4,88.94
8.85,6.96,25,82,66,43,1,45,59,25,3,64.79
7.79,8.37,39,38,74,77,0,17,65,31,10,64.86
8.64,5.68,66,24,92,73,1,89,61,2,12,86.96
6.57,6.96,75,96,81,49,0,9,97,64,9,56.27
5.12,5.91,93,90,52,75,0,13,71,32,5,56.41
7.3,9.47,66,89,86,88,0,78,32,24,6,88.92
5.55,8.58,12,98,98,90,1,58,70,3,8,78.99
5.66,8.82,46,51,92,50,0,87,65,43,13,79.58
5.61,9.63,31,45,98,93,1,47,86,78,9,74.67
6.82,6.86,68,64,50,62,1,97,58,55,7,81.74
5.53,9.47,53,11,53,4,1,80,37,35,1,59.54
5.2,7.22,29,25,61,52,0,80,92,56,18,73.17
8.6,7.9,48,90,88,96,1,55,73,29,17,89.26
5.36,6.76,80,20,96,76,0,73,77,67,20,79.74
8.96,8.8,78,73,93,45,0,71,80,79,20,86.21
5.0,5.52,83,76,90,75,1,81,76,74,11,78.2
6.57,9.77,58,68,88,87,0,12,70,19,1,64.74
6.25,7.37,91,66,89,57,0,79,31,1,14,82.66
6.35,9.1,100,77,70,51,0,82,53,26,4,80.15
7.26,9.21,32,86,86,19,0,94,61,51,16,81.25
5.89,9.41,99,45,84,94,1,66,99,15,17,89.9
5.34,9.72,13,38,70,42,1,9,85,42,6,49.18
8.59,8.25,94,67,96,56,0,5,51,29,20,68.35
9.38,7.55,57,94,82,32,1,31,100,68,8,65.16
8.83,8.68,48,99,75,24,1,38,35,21,10,67.08
5.58,7.99,34,39,53,32,0,42,87,25,2,53.48
8.11,7.13,44,51,83,91,0,92,62,20,7,89.46
8.8,5.87,33,82,55,72,0,52,39,5,4,71.82
8.08,6.37,30,75,86,86,0,97,35,7,19,95.25
8.18,7.44,87,54,77,37,0,53,58,51,19,73.76
5.64,7.22,70,100,89,84,0,82,35,25,7,83.48
9.28,5.81,38,41,72,18,0,18,55,36,13,52.59
7.01,9.48,11,56,68,98,0,72,39,26,20,89.83
6.39,7.3,92,22,52,43,1,42,83,37,19,66.8
7.6,5.77,71,77,99,18,1,87,49,34,19,78.11
7.07,7.75,50,99,94,34,0,57,66,18,13,72.16
7.16,7.01,73,16,72,73,0,67,53,7,15,79.43
6.94,5.48,19,98,89,13,1,78,87,8,8,66.53
5.63,7.8,44,96,78,61,0,49,49,47,0,63.58
6.85,5.24,34,46,66,77,0,95,36,1,18,86.08
8.68,6.99,66,100,68,45,0,71,63,16,10,79.53
7.85,5.05,57,40,75,90,0,90,58,46,13,86.12
6.24,9.35,96,81,63,80,0,62,60,25,9,82.65
6.26,9.46,28,11,62,53,0,49,91,25,3,62.82
5.05,9.5,50,95,100,11,1,6,34,1,12,51.12
5.95,6.06,40,79,54,89,0,58,46,44,8,71.69
5.86,8.47,61,65,83,44,1,13,81,5,19,61.7
5.04,5.7,16,23,88,45,0,10,97,1,14,46.99
7.9,8.34,51,93,63,19,1,13,92,12,5,54.05
9.18,7.69,12,84,75,35,0,48,100,45,20,73.2
5.28,8.38,53,96,85,16,0,23,42,15,2,49.62
5.78,8.6,48,82,79,63,1,29,88,8,5,63.97
7.95,5.01,81,35,58,63,0,47,30,29,9,65.7
7.24,9.24,76,65,73,61,1,23,77,8,17,72.0
6.88,8.46,41,41,84,25,0,27,33,25,20,59.97
6.54,5.42,76,96,79,17,1,92,37,15,11,74.19
7.78,8.24,68,77,100,31,0,55,64,41,7,69.49
7.83,6.09,59,92,96,25,0,50,61,46,11,64.97
8.93,5.29,96,47,95,83,1,80,68,60,6,84.5
8.24,8.67,68,21,100,46,1,55,80,62,11,73.2
8.16,6.93,73,26,66,6,1,8,42,16,6,45.34
7.8,7.28,58,36,55,18,0,2,82,74,3,42.07
6.48,7.06,67,39,79,58,1,96,51,33,6,79.95
9.32,7.87,92,12,67,20,1,44,92,19,11,66.4
7.32,6.59,20,62,80,71,0,16,74,45,18,63.24
6.03,9.27,36,31,92,92,1,32,86,20,7,70.09
7.21,8.08,26,99,87,17,1,68,50,19,3,66.67
8.62,6.08,56,62,57,21,0,11,68,54,13,51.56
8.77,8.28,46,87,73,46,1,47,91,34,13,74.72
6.66,7.85,23,40,65,28,0,69,56,47,13,66.65
5.48,5.06,60,96,90,65,0,0,39,5,6,50.62
8.41,9.36,38,17,77,56,1,24,79,1,18,69.82
7.1,5.23,62,49,90,14,0,10,88,87,15,46.34
5.63,7.57,18,27,64,25,1,43,51,49,18,56.96
7.66,6.07,15,95,76,38,1,65,81,57,6,67.08
6.41,6.66,61,48,57,83,1,71,41,7,16,82.07
6.8,8.36,85,55,73,8,0,46,39,36,10,59.65
5.01,9.19,21,22,68,19,1,2,39,7,1,38.47
7.62,8.41,83,10,68,84,0,97,74,64,18,94.02
5.52,6.9,64,83,93,62,0,68,65,15,10,75.2
7.97,7.23,69,100,60,37,1,25,34,22,9,61.72
9.02,5.52,42,35,79,27,1,36,97,75,12,58.75
5.63,8.5,16,91,59,85,0,43,96,70,2,66.96
9.22,7.62,39,46,70,89,0,68,31,14,13,86.44
5.66,7.59,15,11,64,68,0,81,92,25,17,77.25
5.95,5.23,52,10,98,38,1,38,77,13,2,51.19
6.07,7.95,75,58,63,76,1,29,86,61,2,62.93
6.41,7.92,89,72,62,53,0,42,77,5,6,67.26
9.46,5.83,98,40,90,76,1,93,93,35,11,92.17
6.88,8.51,61,97,51,99,0,41,37,31,14,80.02
7.23,8.87,56,55,50,1,0,95,59,46,14,74.72
9.0,9.64,66,89,62,82,0,76,62,3,13,95.11
5.1,6.3,96,46,93,83,1,45,71,55,16,72.44
9.09,8.46,92,68,86,56,1,6,88,45,1,61.24
8.9,8.72,60,98,78,59,0,48,85,76,16,80.09
9.18,8.15,34,51,76,43,0,58,41,15,2,69.74
5.79,8.34,78,61,82,5,0,18,92,81,0,43.92
5.3,5.17,62,53,71,66,1,62,45,9,11,69.25
9.3,7.37,39,52,97,63,1,38,56,42,4,68.31
5.49,5.04,85,33,74,85,1,51,78,14,20,74.66
5.06,7.34,47,56,98,85,1,71,95,35,7,77.1
7.41,6.54,30,25,66,16,1,45,47,6,17,59.8
5.15,6.78,96,49,63,23,0,90,66,20,18,75.28
6.92,6.67,50,64,93,59,1,82,53,32,9,78.61
8.24,9.13,51,56,87,6,0,48,70,57,18,66.83
8.48,6.99,63,59,62,1,0,9,61,24,2,44.14
7.1,7.64,87,20,84,39,0,71,91,74,17,75.24
7.01,6.9,41,70,91,76,0,14,98,62,19,66.01
9.18,6.6,76,21,73,88,0,96,91,89,20,95.8
5.24,9.61,35,51,85,72,0,74,38,11,12,80.25
8.22,5.68,43,10,100,89,0,16,71,32,12,63.87
6.97,8.77,26,85,62,30,1,100,99,45,1,77.06
9.2,5.81,65,99,54,35,1,82,94,55,18,82.77
6.99,7.32,35,77,59,8,0,37,37,35,3,50.07
7.84,5.98,31,82,61,22,0,15,52,10,19,55.32
